log_id,user_id,item_id,rate,rate_date,rate_timestamp
1,196,242,3,0,0
2,186,302,3,0,0
3,22,377,1,0,0
4,244,51,2,0,0
5,166,346,1,0,0
6,298,474,4,0,0
7,115,265,2,0,0
8,253,465,5,0,0
9,305,451,3,0,0
10,6,86,3,0,0
11,62,257,2,0,0
12,286,1014,5,0,0
13,200,222,5,0,0
14,210,40,3,0,0
15,224,29,3,0,0
16,303,785,3,0,0
17,122,387,5,0,0
18,194,274,2,0,0
19,291,1042,4,0,0
20,234,1184,2,0,0
21,119,392,4,0,0
22,167,486,4,0,0
23,299,144,4,0,0
24,291,118,2,0,0
25,308,1,4,0,0
26,95,546,2,0,0
27,38,95,5,0,0
28,102,768,2,0,0
29,63,277,4,0,0
30,160,234,5,0,0
31,50,246,3,0,0
32,301,98,4,0,0
33,225,193,4,0,0
34,290,88,4,0,0
35,97,194,3,0,0
36,157,274,4,0,0
37,181,1081,1,0,0
38,278,603,5,0,0
39,276,796,1,0,0
40,7,32,4,0,0
41,10,16,4,0,0
42,284,304,4,0,0
43,201,979,2,0,0
44,276,564,3,0,0
45,287,327,5,0,0
46,246,201,5,0,0
47,242,1137,5,0,0
48,249,241,5,0,0
49,99,4,5,0,0
50,178,332,3,0,0
51,251,100,4,0,0
52,81,432,2,0,0
53,260,322,4,0,0
54,25,181,5,0,0
55,59,196,5,0,0
56,72,679,2,0,0
57,87,384,4,0,0
58,290,143,5,0,0
59,42,423,5,0,0
60,292,515,4,0,0
61,115,20,3,0,0
62,20,288,1,0,0
63,201,219,4,0,0
64,13,526,3,0,0
65,246,919,4,0,0
66,138,26,5,0,0
67,167,232,1,0,0
68,60,427,5,0,0
69,57,304,5,0,0
70,223,274,4,0,0
71,189,512,4,0,0
72,243,15,3,0,0
73,92,1049,1,0,0
74,246,416,3,0,0
75,194,165,4,0,0
76,241,690,2,0,0
77,178,248,4,0,0
78,254,1444,3,0,0
79,293,5,3,0,0
80,127,229,5,0,0
81,225,237,5,0,0
82,299,229,3,0,0
83,225,480,5,0,0
84,276,54,3,0,0
85,291,144,5,0,0
86,222,366,4,0,0
87,267,518,5,0,0
88,42,403,3,0,0
89,11,111,4,0,0
90,95,625,4,0,0
91,8,338,4,0,0
92,162,25,4,0,0
93,87,1016,4,0,0
94,279,154,5,0,0
95,145,275,2,0,0
96,119,1153,5,0,0
97,62,498,4,0,0
98,62,382,3,0,0
99,28,209,4,0,0
100,135,23,4,0,0
101,32,294,3,0,0
102,90,382,5,0,0
103,286,208,4,0,0
104,293,685,3,0,0
105,216,144,4,0,0
106,166,328,5,0,0
107,250,496,4,0,0
108,271,132,5,0,0
109,160,174,5,0,0
110,265,118,4,0,0
111,198,498,3,0,0
112,42,96,5,0,0
113,168,151,5,0,0
114,110,307,4,0,0
115,58,144,4,0,0
116,90,648,4,0,0
117,271,346,4,0,0
118,62,21,3,0,0
119,279,832,3,0,0
120,237,514,4,0,0
121,94,789,4,0,0
122,128,485,3,0,0
123,298,317,4,0,0
124,44,195,5,0,0
125,264,200,5,0,0
126,194,385,2,0,0
127,72,195,5,0,0
128,222,750,5,0,0
129,250,264,3,0,0
130,41,265,3,0,0
131,224,245,3,0,0
132,82,135,3,0,0
133,262,1147,4,0,0
134,293,471,3,0,0
135,216,658,3,0,0
136,250,140,3,0,0
137,59,23,5,0,0
138,286,379,5,0,0
139,244,815,4,0,0
140,7,479,4,0,0
141,174,368,1,0,0
142,87,274,4,0,0
143,194,1211,2,0,0
144,82,1134,2,0,0
145,13,836,2,0,0
