user_id,item_list
1,1500;814;1536;1599;1653;1467;1642;1449;1398;1122
2,1500;814;1536;1599;1653;1467;1642;1449;1398;1122
3,1536;814;1500;1599;1467;1449;1653;1642;1398;1122
4,474;174;172;483;408;178;318;64;114;1306
5,1536;814;1463;1599;1500;1467;1653;1449;1642;1656
6,814;1536;1599;1500;1467;1653;1449;1642;1398;1367
7,1500;119;814;1367;1449;1536;1398;1651;1599;1642
8,1500;1463;814;1449;1536;1599;1642;1653;1467;1398
9,1306;1500;814;1449;1536;1398;1599;1642;1653;1467
10,318;1500;814;1367;1449;1536;1398;1651;1599;1642
11,814;1536;1500;1599;1467;1653;1642;1449;1398;1367
12,408;169;1500;119;814;1367;1449;1536;1398;1293
13,1536;1599;1500;1467;1653;1642;1449;1398;1122;1367
14,1500;814;1449;1536;1398;1599;1642;1653;1467;1122
15,1536;814;1599;1500;1467;1653;1449;1642;1398;1639
16,483;1189;1500;119;814;1367;1449;1536;1398;1458
17,814;1536;1306;1500;1599;1467;1653;1642;1449;851
18,1500;814;1536;1599;1642;1653;1467;1449;1398;1293
19,1500;814;1536;1599;1467;1642;1653;1449;1398;1122
20,1536;814;1463;1599;1500;1467;1642;1449;1398;1656
21,1536;814;1599;1500;1467;1653;1449;1642;1398;1122
22,1500;814;1536;1599;1467;1653;1463;1449;1642;1398
23,814;1536;1599;1500;1467;1653;1642;1449;1398;1293
24,1306;1189;1500;119;814;1367;1449;1536;1398;1293
25,1500;814;1449;1536;1599;1642;1653;1467;1398;1122
26,1536;814;1599;1500;1467;1653;1642;1449;1398;1122
27,814;1536;1500;1599;1467;1653;1449;1642;1306;1398
28,1500;814;1449;1536;1599;1642;1653;1467;1398;1122
29,1500;814;1536;1599;1653;1467;1642;1449;1398;1367
30,1500;814;1449;1536;1398;1599;1642;1653;1467;1122
31,1500;814;1449;1536;1599;1642;1653;1467;1398;851
32,814;1536;1500;1599;1467;1653;1449;1642;1398;1122
33,1500;814;1449;1398;1599;1642;1653;1467;1368;1122
34,603;427;408;285;320;1306;1500;119;814;1449
35,1500;814;1599;1467;1449;1653;1642;1398;1122;1651
36,1500;119;814;1449;1651;1599;1642;1653;1639;1650
37,1500;814;1449;1536;1599;1467;1642;1656;1398;1122
38,1500;814;1449;1536;1398;1651;1599;1642;1653;1650
39,1500;814;1536;1599;1642;1653;1467;1398;1367;1449
40,1536;814;1599;1500;1467;1653;1642;1449;1367;1398
41,814;1536;1599;1500;1467;1653;1449;1642;1398;1367
42,1500;814;1449;1536;1599;1642;1653;1467;1398;1656
43,1500;814;1449;1536;1599;1642;1653;1467;1398;1122
44,1500;814;1536;1599;1467;1653;1642;1449;1398;1122
45,1500;1463;814;1449;1536;1398;1599;1642;1467;1656
46,1500;814;1367;1449;1536;1398;1599;1642;1653;1467
47,1500;814;1367;1536;1599;1642;1653;1467;1398;1449
48,1500;814;1536;1599;1467;1653;1449;1642;1367;1398
49,1536;814;1500;1599;1467;1653;1642;1449;474;1398
50,1500;814;1536;1599;1467;1653;1449;1642;1398;1122
51,1463;814;1536;1467;1599;1500;1233;1449;1642;1656
52,483;408;1189;1500;119;814;1367;1449;1536;1398
53,1500;814;1449;1536;1599;1653;1467;1463;1642;1398
54,1500;814;1449;1536;1398;1599;1642;1653;1467;1554
55,814;1536;1599;1500;1467;1449;1642;1398;1367;1656
56,1500;814;1449;1536;1599;1642;1653;1467;1398;1463
57,1500;814;1536;1599;1642;1653;1467;1449;1463;1398
58,1500;814;1536;1599;1653;1467;1642;1449;1398;1122
59,1500;814;1449;1536;1398;1599;1642;1653;1467;1122
60,1500;814;1449;1536;1398;1599;1642;1653;1467;1651
