user_id,item_list
1,"Schindler's List (1993)|hotest_rec;Star Wars (1977)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Casablanca (1942)|userCF_rec;Godfather, The (1972)|hotest_rec;Raiders of the Lost Ark (1981)|hotest_rec;Titanic (1997)|userCF_rec;Empire Strikes Back, The (1980)|hotest_rec;Princess Bride, The (1987)|hotest_rec;Rear Window (1954)|userCF_rec;L.A. Confidential (1997)|hotest_rec;Fargo (1996)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|userCF_rec;To Kill a Mockingbird (1962)|userCF_rec;Close Shave, A (1995)|userCF_rec;Boot, Das (1981)|userCF_rec;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|userCF_rec"
2,"Schindler's List (1993)|userCF_rec;Star Wars (1977)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Raiders of the Lost Ark (1981)|hotest_rec;Titanic (1997)|hotest_rec;Empire Strikes Back, The (1980)|hotest_rec;Princess Bride, The (1987)|hotest_rec;L.A. Confidential (1997)|hotest_rec;Shawshank Redemption, The (1994)|userCF_rec;Fargo (1996)|hotest_rec;Usual Suspects, The (1995)|userCF_rec;Casablanca (1942)|userCF_rec;Rear Window (1954)|userCF_rec;One Flew Over the Cuckoo's Nest (1975)|userCF_rec;Amadeus (1984)|userCF_rec"
3,"Star Wars (1977)|userCF_rec;Schindler's List (1993)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Shawshank Redemption, The (1994)|userCF_rec;Raiders of the Lost Ark (1981)|hotest_rec;Titanic (1997)|hotest_rec;Empire Strikes Back, The (1980)|hotest_rec;Princess Bride, The (1987)|hotest_rec;L.A. Confidential (1997)|hotest_rec;Fargo (1996)|hotest_rec;Usual Suspects, The (1995)|userCF_rec;Casablanca (1942)|userCF_rec"
4,"Schindler's List (1993)|hotest_rec;Star Wars (1977)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Raiders of the Lost Ark (1981)|hotest_rec;Titanic (1997)|hotest_rec;Empire Strikes Back, The (1980)|hotest_rec;Princess Bride, The (1987)|hotest_rec;L.A. Confidential (1997)|hotest_rec;Fargo (1996)|hotest_rec;Shawshank Redemption, The (1994)|userCF_rec;Usual Suspects, The (1995)|userCF_rec;Casablanca (1942)|userCF_rec"
5,"Schindler's List (1993)|hotest_rec;Star Wars (1977)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Raiders of the Lost Ark (1981)|hotest_rec;Titanic (1997)|hotest_rec;Shawshank Redemption, The (1994)|userCF_rec;Empire Strikes Back, The (1980)|hotest_rec;Princess Bride, The (1987)|hotest_rec;L.A. Confidential (1997)|hotest_rec;Fargo (1996)|hotest_rec;Usual Suspects, The (1995)|userCF_rec;Casablanca (1942)|userCF_rec;Rear Window (1954)|userCF_rec;One Flew Over the Cuckoo's Nest (1975)|userCF_rec;Amadeus (1984)|userCF_rec;Braveheart (1995)|userCF_rec"
6,"Schindler's List (1993)|hotest_rec;Star Wars (1977)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Titanic (1997)|userCF_rec;Raiders of the Lost Ark (1981)|hotest_rec;Empire Strikes Back, The (1980)|userCF_rec;Rear Window (1954)|userCF_rec;Return of the Jedi (1983)|userCF_rec;Princess Bride, The (1987)|hotest_rec;L.A. Confidential (1997)|hotest_rec;Terminator 2: Judgment Day (1991)|userCF_rec;Glory (1989)|userCF_rec;Fargo (1996)|hotest_rec;Chinatown (1974)|userCF_rec;Manchurian Candidate, The (1962)|userCF_rec;Indiana Jones and the Last Crusade (1989)|userCF_rec;Henry V (1989)|userCF_rec"
7,"Schindler's List (1993)|hotest_rec;Star Wars (1977)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Raiders of the Lost Ark (1981)|hotest_rec;Titanic (1997)|hotest_rec;Empire Strikes Back, The (1980)|hotest_rec;Princess Bride, The (1987)|hotest_rec;L.A. Confidential (1997)|hotest_rec;Fargo (1996)|hotest_rec;Close Shave, A (1995)|userCF_rec;Wrong Trousers, The (1993)|userCF_rec;Good Will Hunting (1997)|userCF_rec;Lone Star (1996)|userCF_rec;Toy Story (1995)|userCF_rec;Much Ado About Nothing (1993)|userCF_rec;As Good As It Gets (1997)|userCF_rec;Apt Pupil (1998)|userCF_rec"
8,"Schindler's List (1993)|hotest_rec;Star Wars (1977)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Raiders of the Lost Ark (1981)|hotest_rec;Shawshank Redemption, The (1994)|userCF_rec;Titanic (1997)|hotest_rec;Empire Strikes Back, The (1980)|hotest_rec;Usual Suspects, The (1995)|userCF_rec;Casablanca (1942)|userCF_rec;Princess Bride, The (1987)|hotest_rec;Fargo (1996)|userCF_rec;Rear Window (1954)|userCF_rec;L.A. Confidential (1997)|hotest_rec;One Flew Over the Cuckoo's Nest (1975)|userCF_rec;Amadeus (1984)|userCF_rec"
9,"Schindler's List (1993)|userCF_rec;Star Wars (1977)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Raiders of the Lost Ark (1981)|hotest_rec;Titanic (1997)|hotest_rec;Empire Strikes Back, The (1980)|hotest_rec;Shawshank Redemption, The (1994)|userCF_rec;Princess Bride, The (1987)|hotest_rec;L.A. Confidential (1997)|hotest_rec;Fargo (1996)|hotest_rec;Usual Suspects, The (1995)|userCF_rec;Rear Window (1954)|userCF_rec"
10,"Schindler's List (1993)|hotest_rec;Star Wars (1977)|hotest_rec;Silence of the Lambs, The (1991)|hotest_rec;Godfather, The (1972)|hotest_rec;Raiders of the Lost Ark (1981)|hotest_rec;Titanic (1997)|hotest_rec;Empire Strikes Back, The (1980)|hotest_rec;Princess Bride, The (1987)|hotest_rec;L.A. Confidential (1997)|hotest_rec;Fargo (1996)|hotest_rec;Blade Runner (1982)|userCF_rec;To Kill a Mockingbird (1962)|userCF_rec;Close Shave, A (1995)|userCF_rec;Boot, Das (1981)|userCF_rec;Return of the Jedi (1983)|userCF_rec;Wrong Trousers, The (1993)|userCF_rec"
